group,panel,label,baseline_DRAM,embedded_DRAM,recon_DRAM,baseline_Global buffer,embedded_Global buffer,recon_Global buffer,baseline_Local (spads/RF/NoC),embedded_Local (spads/RF/NoC),recon_Local (spads/RF/NoC),baseline_Compute,embedded_Compute,recon_Compute,baseline_ECC decode,embedded_ECC decode,recon_ECC decode,baseline_Reconstruction,embedded_Reconstruction,recon_Reconstruction,baseline_total_uJ,baseline_saving_pct,embedded_total_uJ,embedded_saving_pct,recon_total_uJ,recon_saving_pct
resnet18/eyeriss_v2_like,resnet18,Eyeriss v2,2957.707776,2422.636032,2422.636032,1359.8287762500001,1359.8287762500001,1359.8287762500001,821.3887451100002,821.3887451100002,743.5304744395239,2120.2345022800005,2120.2345022800005,2120.2345022800005,0.0,0.0,0.0,0.0,0.0,18.41368877285547,7259.159799640001,0.0,6724.088055640002,7.37098725980017,6664.643473742381,8.18987792398653
resnet18/eyeriss_like,resnet18,Eyeriss v1,7647.905792,6002.765312,6002.765312,1574.98567044,1574.98567044,1574.98567044,1229.1422654100004,1229.1422654100004,1051.5309249071431,2059.9709857999997,2059.9709857999997,2059.9709857999997,0.0,0.0,0.0,0.0,0.0,56.61505388914347,12512.00471365,0.0,10866.86423365,13.148496325334902,10745.867947036286,14.11553789367537
resnet18/eyeriss_like_wglb,resnet18,"Eyeriss v1
(+8kB filter GLB)",2653.951488,2258.092544,2258.092544,2143.5775866699996,2143.5775866699996,2043.683057089047,1545.2196553700005,1545.2196553700005,1307.8704573376197,2059.9709857999997,2059.9709857999997,2059.9709857999997,0.0,0.0,0.0,0.0,0.0,13.6228806112768,8402.71971584,0.0,8006.86077184,4.711081142618202,7683.239924837942,8.562463289662796
resnet18/simple_weight_stationary,resnet18,Weight stationary,1915.64032,1608.333312,1608.333312,5879.34510766,5879.34510766,5795.310719751428,947.8136736100003,947.8136736100003,861.1768422652383,2059.9709857999997,2059.9709857999997,2059.9709857999997,0.0,0.0,0.0,0.0,0.0,10.575501984702933,10802.77008707,0.0,10495.463079070001,2.844705622012807,10335.367361801369,4.326693260167339
resnet18/simple_output_stationary,resnet18,Output stationary,2138.59584,1899.118592,1899.118592,1596.8007463500003,1596.8007463500003,1498.521748281429,4695.088221000002,4695.088221000002,4663.61062765905,2059.9709857999997,2059.9709857999997,2059.9709857999997,0.0,0.0,0.0,0.0,0.0,8.241238412632534,10490.455793150002,0.0,10250.978545150001,2.282810706436345,10129.46319215311,3.4411526831142067
resnet18/simple_input_stationary,resnet18,Input stationary,2008.047104,1750.219776,1750.219776,3183.8261929599994,3183.8261929599994,3129.832297420952,1315.6327713599994,1315.6327713599994,1284.155178019047,2059.9709857999997,2059.9709857999997,2059.9709857999997,0.0,0.0,0.0,0.0,0.0,8.872730007009066,8567.477054119998,0.0,8309.649726119998,3.0093728453700836,8233.050967247007,3.903437205147449
resnet18/simba_like,resnet18,"Simba-like
(reference design)",1759.331328,1431.870976,1431.870976,444.87212127000015,444.87212127000015,444.87212127000015,3621.865827320001,3621.865827320001,3502.81340772762,2180.4798780600004,2180.4798780600004,2180.4798780600004,0.0,0.0,0.0,0.0,0.0,11.2690591243136,8006.549154650001,0.0,7679.0888026500015,4.089906221456449,7571.305442181934,5.4360961765317795
mobilenet_v2/eyeriss_v2_like,mobilenet_v2,Eyeriss v2,1454.501376,1293.766656,1293.766656,377.46901842999984,377.46901842999984,377.46901842999984,131.98483729999992,131.98483729999992,118.34062911904755,351.53594595000004,351.53594595000004,351.53594595000004,0.0,0.0,0.0,0.0,0.0,5.531432040069867,2315.49117768,0.0,2154.75645768,6.941711613906805,2146.6436815391176,7.292081169147825
mobilenet_v2/eyeriss_like,mobilenet_v2,Eyeriss v1,1447.122944,1303.297536,1303.297536,324.8492788500001,324.8492788500001,324.8492788500001,179.11612365000005,179.11612365000005,154.00189281571434,341.5442245799998,341.5442245799998,341.5442245799998,0.0,0.0,0.0,0.0,0.0,4.949517997972267,2292.6325710799997,0.0,2148.80716308,6.273373667209463,2128.6424502436867,7.152917694049073
mobilenet_v2/eyeriss_like_wglb,mobilenet_v2,"Eyeriss v1
(+8kB filter GLB)",1066.955264,967.410176,967.410176,371.1184300700003,371.1184300700003,355.7474976814289,266.1083397100001,266.1083397100001,224.29943020523822,341.5442245799998,341.5442245799998,341.5442245799998,0.0,0.0,0.0,0.0,0.0,3.4256855242722666,2045.7262583600002,0.0,1946.1811703600001,4.866002359465359,1892.4270139909395,7.493634289660845
mobilenet_v2/simple_weight_stationary,mobilenet_v2,Weight stationary,1017.44128,942.017536,942.017536,1055.7948915900001,1055.7948915900001,1035.182258584286,176.75530569,176.75530569,157.83369085190475,341.5442245799998,341.5442245799998,341.5442245799998,0.0,0.0,0.0,0.0,0.0,2.5955753752749335,2591.5357018600002,0.0,2516.11195786,2.9103879968108015,2479.1732853914655,4.335746422011072
mobilenet_v2/simple_output_stationary,mobilenet_v2,Output stationary,960.105984,889.193472,889.193472,372.2474866499998,372.2474866499998,346.2686927890474,729.8762693499998,729.8762693499998,724.6572685595236,341.5442245799998,341.5442245799998,341.5442245799998,0.0,0.0,0.0,0.0,0.0,2.4403344258133335,2403.7739645799993,0.0,2332.8614525799994,2.9500490913416737,2304.103992354384,4.146395363884823
mobilenet_v2/simple_input_stationary,mobilenet_v2,Input stationary,1012.065792,937.85856,937.85856,574.7583847500003,574.7583847500003,548.4637759023813,200.7069134499999,200.7069134499999,195.48791265952372,341.5442245799998,341.5442245799998,341.5442245799998,0.0,0.0,0.0,0.0,0.0,2.5537174729621337,2129.07531478,0.0,2054.8680827800003,3.4854207122150545,2025.908190614867,4.84563056313457
mobilenet_v2/simba_like,mobilenet_v2,"Simba-like
(reference design)",982.85824,898.290176,898.290176,82.38815999999996,82.38815999999996,82.38815999999996,497.9186991299999,497.9186991299999,480.5123809299999,361.52465937,361.52465937,361.52465937,0.0,0.0,0.0,0.0,0.0,2.9102750002138666,1924.6897585,0.0,1840.1216945,4.393854314780986,1825.6256513002136,5.147016902973063
