layer,level,dataspace,reads,energy_pJ
stem_conv3x3_s2,mac,Compute,,15268922.08
stem_conv3x3_s2,psum_spad,Outputs,57344.0,11725376.15
stem_conv3x3_s2,weights_spad,Weights,64512.0,26098966.33
stem_conv3x3_s2,ifmap_spad,Inputs,64512.0,3874092.17
stem_conv3x3_s2,shared_glb,Inputs,677376.0,6040938.77
stem_conv3x3_s2,shared_glb,Outputs,0.0,2494484.79
stem_conv3x3_s2,DRAM,Weights,27648.0,1769472.0
stem_conv3x3_s2,DRAM,Inputs,162000.0,10368000.0
stem_conv3x3_s2,DRAM,Outputs,0.0,25690112.0
mid_conv1x1_pw,mac,Compute,,10179281.39
mid_conv1x1_pw,psum_spad,Outputs,41216.0,8124668.42
mid_conv1x1_pw,weights_spad,Weights,43008.0,17144751.86
mid_conv1x1_pw,ifmap_spad,Inputs,43008.0,2189154.59
mid_conv1x1_pw,shared_glb,Inputs,301056.0,4108292.97
mid_conv1x1_pw,shared_glb,Outputs,0.0,467715.9
mid_conv1x1_pw,DRAM,Weights,2304.0,147456.0
mid_conv1x1_pw,DRAM,Inputs,301056.0,19267584.0
mid_conv1x1_pw,DRAM,Outputs,0.0,4816896.0
deep_conv3x3,mac,Compute,,31174049.25
deep_conv3x3,psum_spad,Outputs,130928.0,26285440.09
deep_conv3x3,weights_spad,Weights,131712.0,55958259.41
deep_conv3x3,ifmap_spad,Inputs,131712.0,5761349.39
deep_conv3x3,shared_glb,Inputs,301056.0,2415606.86
deep_conv3x3,shared_glb,Outputs,285376.0,4030736.51
deep_conv3x3,DRAM,Weights,225792.0,14450688.0
deep_conv3x3,DRAM,Inputs,28672.0,1835008.0
deep_conv3x3,DRAM,Outputs,0.0,1404928.0
head_fc_like,mac,Compute,,1803302.4
head_fc_like,psum_spad,Outputs,12790.0,1471417.38
head_fc_like,weights_spad,Weights,12800.0,5916979.2
head_fc_like,ifmap_spad,Inputs,12800.0,345984.0
head_fc_like,shared_glb,Inputs,1280.0,17467.23
head_fc_like,shared_glb,Outputs,0.0,6214.34
head_fc_like,DRAM,Weights,1280000.0,81920000.0
head_fc_like,DRAM,Inputs,1280.0,81920.0
head_fc_like,DRAM,Outputs,0.0,64000.0
