layer,level,dataspace,reads,energy_pJ
attn_qkv_proj,mac,Compute,,1107948.99
attn_qkv_proj,psum_spad,Outputs,8176.0,903473.58
attn_qkv_proj,weights_spad,Weights,8192.0,3635392.02
attn_qkv_proj,ifmap_spad,Inputs,8192.0,206146.88
attn_qkv_proj,shared_glb,Inputs,512.0,6986.89
attn_qkv_proj,shared_glb,Outputs,0.0,9545.22
attn_qkv_proj,DRAM,Weights,786432.0,50331648.0
attn_qkv_proj,DRAM,Inputs,512.0,32768.0
attn_qkv_proj,DRAM,Outputs,0.0,98304.0
attn_out_proj,mac,Compute,,369316.33
attn_out_proj,psum_spad,Outputs,4080.0,300843.83
attn_out_proj,weights_spad,Weights,4096.0,1211797.34
attn_out_proj,ifmap_spad,Inputs,4096.0,68715.63
attn_out_proj,shared_glb,Inputs,512.0,6986.89
attn_out_proj,shared_glb,Outputs,0.0,3181.74
attn_out_proj,DRAM,Weights,262144.0,16777216.0
attn_out_proj,DRAM,Inputs,512.0,32768.0
attn_out_proj,DRAM,Outputs,0.0,32768.0
ffn_up,mac,Compute,,1477265.33
ffn_up,psum_spad,Outputs,16256.0,1200863.06
ffn_up,weights_spad,Weights,16384.0,4847189.36
ffn_up,ifmap_spad,Inputs,16384.0,274862.51
ffn_up,shared_glb,Inputs,4096.0,33622.96
ffn_up,shared_glb,Outputs,0.0,12726.96
ffn_up,DRAM,Weights,1048576.0,67108864.0
ffn_up,DRAM,Inputs,512.0,32768.0
ffn_up,DRAM,Outputs,0.0,131072.0
ffn_down,mac,Compute,,1477265.33
ffn_down,psum_spad,Outputs,16368.0,1205259.5
ffn_down,weights_spad,Weights,16384.0,4847189.36
ffn_down,ifmap_spad,Inputs,16384.0,274862.51
ffn_down,shared_glb,Inputs,2048.0,27947.57
ffn_down,shared_glb,Outputs,0.0,3181.74
ffn_down,DRAM,Weights,1048576.0,67108864.0
ffn_down,DRAM,Inputs,2048.0,131072.0
ffn_down,DRAM,Outputs,0.0,32768.0
