layer,level,dataspace,reads,energy_pJ
attn_qkv_proj,mac,Compute,,2009323.93
attn_qkv_proj,output_activation_reg,Outputs,110448.0,321969.17
attn_qkv_proj,input_activation_reg,Inputs,110592.0,322388.95
attn_qkv_proj,weight_reg,Weights,110592.0,322388.95
attn_qkv_proj,pe_spad,Weights,110592.0,3933148.74
attn_qkv_proj,shared_glb,Inputs,110592.0,899220.79
attn_qkv_proj,DRAM,Weights,1769472.0,226492416.0
attn_qkv_proj,DRAM,Inputs,768.0,98304.0
attn_qkv_proj,DRAM,Outputs,0.0,294912.0
attn_out_proj,mac,Compute,,669774.64
attn_out_proj,output_activation_reg,Outputs,36816.0,107323.06
attn_out_proj,input_activation_reg,Inputs,36864.0,107462.98
attn_out_proj,weight_reg,Weights,36864.0,107462.98
attn_out_proj,pe_spad,Weights,36864.0,1311049.58
attn_out_proj,shared_glb,Inputs,36864.0,303083.83
attn_out_proj,DRAM,Weights,589824.0,75497472.0
attn_out_proj,DRAM,Inputs,768.0,98304.0
attn_out_proj,DRAM,Outputs,0.0,98304.0
ffn_up,mac,Compute,,2679098.57
ffn_up,output_activation_reg,Outputs,147264.0,429292.23
ffn_up,input_activation_reg,Inputs,147456.0,429851.93
ffn_up,weight_reg,Weights,147456.0,429851.93
ffn_up,pe_spad,Weights,147456.0,5244198.32
ffn_up,shared_glb,Inputs,147456.0,1197289.27
ffn_up,DRAM,Weights,2359296.0,301989888.0
ffn_up,DRAM,Inputs,768.0,98304.0
ffn_up,DRAM,Outputs,0.0,393216.0
ffn_down,mac,Compute,,2679098.57
ffn_down,output_activation_reg,Outputs,147408.0,429712.01
ffn_down,input_activation_reg,Inputs,147456.0,429851.93
ffn_down,weight_reg,Weights,147456.0,429851.93
ffn_down,pe_spad,Weights,147456.0,5244198.32
ffn_down,shared_glb,Inputs,147456.0,1212335.31
ffn_down,DRAM,Weights,2359296.0,301989888.0
ffn_down,DRAM,Inputs,3072.0,393216.0
ffn_down,DRAM,Outputs,0.0,98304.0
