layer,level,dataspace,reads,energy_pJ
00,mac,Compute,,166261596.0
00,psum_spad,Outputs,688128.0,141997082.1
00,weights_spad,Weights,702464.0,281812860.24
00,ifmap_spad,Inputs,702464.0,29885386.72
00,shared_glb,Inputs,639744.0,5053720.49
00,shared_glb,Outputs,4816896.0,70721657.04
00,DRAM,Weights,75264.0,4816896.0
00,DRAM,Inputs,48144.0,3081216.0
00,DRAM,Outputs,0.0,51380224.0
01,mac,Compute,,162868502.2
01,psum_spad,Outputs,673792.0,134057035.97
01,weights_spad,Weights,688128.0,276061577.38
01,ifmap_spad,Inputs,688128.0,31877885.36
01,shared_glb,Inputs,7225344.0,55036227.03
01,shared_glb,Outputs,401408.0,6724966.35
01,DRAM,Weights,147456.0,9437184.0
01,DRAM,Inputs,215296.0,13778944.0
01,DRAM,Outputs,0.0,12845056.0
02,mac,Compute,,162868502.2
02,psum_spad,Outputs,673792.0,134057035.97
02,weights_spad,Weights,688128.0,276061577.38
02,ifmap_spad,Inputs,688128.0,31877885.36
02,shared_glb,Inputs,7225344.0,55036227.03
02,shared_glb,Outputs,401408.0,6724966.35
02,DRAM,Weights,147456.0,9437184.0
02,DRAM,Inputs,215296.0,13778944.0
02,DRAM,Outputs,0.0,12845056.0
03,mac,Compute,,162868502.2
03,psum_spad,Outputs,673792.0,134057035.97
03,weights_spad,Weights,688128.0,276061577.38
03,ifmap_spad,Inputs,688128.0,31877885.36
03,shared_glb,Inputs,7225344.0,55036227.03
03,shared_glb,Outputs,401408.0,6724966.35
03,DRAM,Weights,147456.0,9437184.0
03,DRAM,Inputs,215296.0,13778944.0
03,DRAM,Outputs,0.0,12845056.0
04,mac,Compute,,162868502.2
04,psum_spad,Outputs,673792.0,134057035.97
04,weights_spad,Weights,688128.0,276061577.38
04,ifmap_spad,Inputs,688128.0,31877885.36
04,shared_glb,Inputs,7225344.0,55036227.03
04,shared_glb,Outputs,401408.0,6724966.35
04,DRAM,Weights,147456.0,9437184.0
04,DRAM,Inputs,215296.0,13778944.0
04,DRAM,Outputs,0.0,12845056.0
05,mac,Compute,,81434251.1
05,psum_spad,Outputs,342272.0,67420898.72
05,weights_spad,Weights,344064.0,141521883.96
05,ifmap_spad,Inputs,344064.0,14964379.68
05,shared_glb,Inputs,688128.0,5877742.08
