# arch	model	K	arm	fingerprint	cycle_seconds	variant_slug	note
# grid A: arch x model, at env.sh's K and the reference arm
eyeriss_like	resnet18	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	resnet50	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	densenet121	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	squeezenet1_1	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	mobilenet_v2	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	efficientnet_b0	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	convnext_tiny	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	xception	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	distilgpt2	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	gpt2	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	bert_base	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	gpt2_medium	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	opt_125m	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	distilbert	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	tinyllama	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like_wglb	resnet18	39	reference	d1444604cd01	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__mcons__wrelax	
